Decay Factor,Noise Level,Sampling Algorithm,Rule,Trials to Learn,Overtrained
0.5,0.3,Thompson,go left 1,159,True
0.5,0.3,Thompson,go left 1,112,True
0.5,0.3,Thompson,go left 1,124,True
0.5,0.3,Thompson,go left 1,190,True
0.5,0.3,Thompson,go left 1,123,True
0.5,0.3,Thompson,go left 1,176,True
0.5,0.3,Thompson,go left 1,120,True
0.5,0.3,Thompson,go left 1,148,True
0.5,0.3,Thompson,go left 1,166,True
0.5,0.3,Thompson,go left 1,221,True
0.5,0.3,Thompson,go left 1,166,True
0.5,0.3,Thompson,go left 1,151,True
0.5,0.3,Thompson,go left 1,176,True
0.5,0.3,Thompson,go left 1,181,True
0.5,0.3,Thompson,go left 1,222,True
0.5,0.3,Thompson,go left 1,99,True
0.5,0.3,Thompson,go left 1,225,True
0.5,0.3,Thompson,go left 1,206,True
0.5,0.3,Thompson,go left 1,137,True
0.5,0.3,Thompson,go left 1,207,True
0.5,0.3,Thompson,go left 1,138,True
0.5,0.3,Thompson,go left 1,105,True
0.5,0.3,Thompson,go left 1,125,True
0.5,0.3,Thompson,go left 1,171,True
0.5,0.3,Thompson,go left 1,150,True
0.5,0.3,Thompson,go left 1,176,True
0.5,0.3,Thompson,go left 1,240,True
0.5,0.3,Thompson,go left 1,220,True
0.5,0.3,Thompson,go left 1,202,True
0.5,0.3,Thompson,go left 1,132,True
0.5,0.3,Thompson,go left 1,117,True
0.5,0.3,Thompson,go left 1,204,True
0.5,0.3,Thompson,go left 1,215,True
0.5,0.3,Thompson,go left 1,213,True
0.5,0.3,Thompson,go left 1,94,True
0.5,0.3,Thompson,go left 1,153,True
0.5,0.3,Thompson,go left 1,199,True
0.5,0.3,Thompson,go left 1,115,True
0.5,0.3,Thompson,go left 1,144,True
0.5,0.3,Thompson,go left 1,197,True
0.5,0.3,Thompson,go left 1,136,True
0.5,0.3,Thompson,go left 1,136,True
0.5,0.3,Thompson,go left 1,118,True
0.5,0.3,Thompson,go left 1,196,True
0.5,0.3,Thompson,go left 1,147,True
0.5,0.3,Thompson,go left 1,238,True
0.5,0.3,Thompson,go left 1,153,True
0.5,0.3,Thompson,go left 1,186,True
0.5,0.3,Thompson,go left 1,161,True
0.5,0.3,Thompson,go left 1,214,True
0.5,0.3,Thompson,go right 2,349,True
0.5,0.3,Thompson,go right 2,394,True
0.5,0.3,Thompson,go right 2,290,True
0.5,0.3,Thompson,go right 2,254,True
0.5,0.3,Thompson,go right 2,257,True
0.5,0.3,Thompson,go right 2,457,True
0.5,0.3,Thompson,go right 2,264,True
0.5,0.3,Thompson,go right 2,492,True
0.5,0.3,Thompson,go right 2,116,True
0.5,0.3,Thompson,go right 2,214,True
0.5,0.3,Thompson,go right 2,298,True
0.5,0.3,Thompson,go right 2,284,True
0.5,0.3,Thompson,go right 2,483,True
0.5,0.3,Thompson,go right 2,277,True
0.5,0.3,Thompson,go right 2,456,True
0.5,0.3,Thompson,go right 2,229,True
0.5,0.3,Thompson,go right 2,276,True
0.5,0.3,Thompson,go right 2,423,True
0.5,0.3,Thompson,go right 2,212,True
0.5,0.3,Thompson,go right 2,387,True
0.5,0.3,Thompson,go right 2,326,True
0.5,0.3,Thompson,go right 2,280,True
0.5,0.3,Thompson,go right 2,254,True
0.5,0.3,Thompson,go right 2,297,True
0.5,0.3,Thompson,go right 2,117,True
0.5,0.3,Thompson,go right 2,409,True
0.5,0.3,Thompson,go right 2,295,True
0.5,0.3,Thompson,go right 2,400,True
0.5,0.3,Thompson,go right 2,312,True
0.5,0.3,Thompson,go right 2,245,True
0.5,0.3,Thompson,go right 2,246,True
